"id1","id2","id3","id4","credit_no","s3bii_15","s3bii_16","s3bii_17","s3bii_18ii","s3bii_19i","s3bii_19ii","s3bii_19iii","s3bii_20","s3bii_21i","s3bii_21ii","s3bii_22a","s3bii_22bi","s3bii_22b2i","s3bii_22b2ii","s3bii_23i","s3bii_23ii","s3bii_24i","s3bii_24ii","hhno"
1,12,29,33,1,1,1,3,-8,2009,12,7,1,100,0,2,,,,48,0,52,0,101029033
1,13,10,64,1,1,1,4,-8,,8,,1,50,0,2,,,,0,0,50,0,101010064
1,13,12,17,2,1,1,4,-8,1,,,1,350,0,2,,,,0,0,350,0,101012017
1,6,2,52,3,2,1,4,,2009,11,,1,60,0,2,,,,0,0,60,0,101002052
1,13,12,17,1,2,1,4,-8,,6,,1,580,0,2,,,,0,0,580,0,101012017
1,10,18,2,1,1,1,4,-8,2005,8,,1,2000,0,2,,,,1000,0,1000,0,101018002
1,6,2,21,1,1,1,1,-8,2008,7,7,1,1500,0,2,,,,800,0,700,0,101002021
1,10,19,13,1,1,1,1,-8,2009,1,,1,1580,0,2,,,,0,0,1580,0,101019013
1,10,18,11,1,1,1,4,-8,2010,1,,1,40,0,2,,,,0,0,40,0,101018011
1,13,9,68,2,1,1,,,2006,2,,1,1600,0,2,,,,0,0,1600,0,101009068
1,13,9,258,1,2,1,3,-8,2009,11,12,1,100,0,2,,,,0,0,100,0,101009258
1,13,12,94,1,1,1,1,-8,2008,,,1,200,0,2,,,,0,0,200,0,101012094
1,6,2,52,1,2,1,4,,2009,10,,1,45,0,2,,,,0,0,45,0,101002052
1,6,2,43,1,1,1,4,,2009,10,,1,10,0,2,,,,0,0,10,0,101002043
1,6,2,41,1,2,1,7,-8,2008,7,,1,360,0,2,,,,0,0,360,0,101002041
1,13,11,161,1,1,1,4,146,2009,12,,1,30,0,2,,,,0,0,30,0,101011161
1,6,2,52,2,2,1,4,,2009,10,4,1,30,0,2,,,,0,0,30,0,101002052
1,6,2,28,1,2,1,4,-8,2003,,,1,255,0,2,,,,0,0,255,0,101002028
1,13,9,68,1,1,1,4,,2006,2,,1,5000,0,1,20,100,,0,0,8000,0,101009068
1,13,12,36,1,1,1,4,,2008,7,24,1,300,0,2,,,,0,0,300,0,101012036
1,10,18,11,2,1,1,3,-8,2010,1,,1,20,0,2,,,,0,0,20,0,101018011
1,5,4,1,1,2,1,7,-8,2009,11,,1,140,0,2,,,,0,0,140,0,101004001
1,17,22,11,1,1,1,4,-8,2009,3,,1,150,0,2,,,,0,0,150,0,101022011
1,10,21,63,2,1,1,4,-8,2009,5,,1,10,0,2,,,,0,0,10,0,101021063
1,8,16,154,1,1,1,4,-8,2009,9,,1,50,0,2,,,,0,0,50,0,101016154
1,2,28,31,2,1,1,2,34,2010,1,,1,26,0,2,,,,0,0,26,0,101028031
1,5,4,5,1,1,1,4,-8,2010,1,26,1,100,0,2,,,,0,0,100,0,101004005
1,8,15,65,1,2,1,4,89,2009,10,,1,50,0,2,,,,0,0,50,0,101015065
1,8,15,149,1,1,1,4,-8,2009,9,,1,10,0,2,,,,0,0,10,0,101015149
1,2,26,24,3,1,1,4,-8,2009,3,28,1,30,50,2,,,,0,0,30,50,101026024
1,2,5,3,1,1,1,3,-8,2009,2,,6,100,0,2,,,,0,0,100,0,101005003
1,2,26,10,2,1,1,4,-8,2009,10,,1,45,0,2,,,,0,0,45,0,101026010
1,2,28,31,7,1,1,4,-8,2009,11,,1,340,0,2,,,,250,0,90,0,101028031
1,2,26,10,1,1,1,4,30,2009,5,,1,41,0,2,,,,0,0,41,0,101026010
