"id1","id2","id3","id4","hhno","total_exp_s11b","food_exp","gifts_given","own_produce","children_exp","elderly_exp","maleAdults_exp","femaleAdults_exp","otherItems_exp","fuel_exp","avg_s11_monthly_exp","education_expenditure","health_expenses","dwelling_expenses","avg_monthly_exp_overall"
1,6,1,2,101001002,0,150.850006103516,0,0,5,0,8.33333301544189,9.83333301544189,12.6666660308838,5,191.683334350586,0,0,21.3333339691162,213.016662597656
1,6,1,3,101001003,0,108.949996948242,0,0,0,0,11.6666660308838,9.5,17.7083320617676,33,180.824996948242,0,0,0,180.824996948242
1,6,1,4,101001004,0,178,0,21,0,0,9.91666698455811,0,14.8333330154419,6.5,230.25,0,0,0.75,231
1,6,1,9,101001009,0,49.7999992370605,0,0,0,0,5.70833349227905,10,17.5833320617676,2,85.091667175293,0,234,1,320.091674804688
1,6,1,10,101001010,0,1563.05004882813,0,0.699999988079071,0,0,0,10.6666660308838,17.75,10,1602.16662597656,0,36,4.16666650772095,1642.33325195313
1,6,1,12,101001012,0,95.3000030517578,0,7.30000019073486,0,0,7.5,4.16666650772095,9.79166698455811,5,129.058334350586,65,52,24.1666660308838,210.641662597656
1,6,1,13,101001013,13,78.1999969482422,0,0,0,3.16666674613953,0,5.91666650772095,11,5,103.283332824707,0,88,0,191.283325195313
1,6,1,15,101001015,0,83.1999969482422,0,0,5.83333301544189,0,0,7.91666650772095,11.9166660308838,17,125.866668701172,526,46,20,235.699996948242
1,6,1,22,101001022,0,557.900024414063,0,20,6.25,0,9.16666603088379,9.16666603088379,14.1666660308838,5,621.650024414063,0,0,3.75,625.400024414063
1,6,1,23,101001023,0,71,0,0,0,0,0,0.833333313465118,9.91666698455811,6,87.75,137,0,20,119.166664123535
1,6,1,24,101001024,0,103.400001525879,0,0,7.5,0,5,7.08333301544189,13.1666660308838,24,160.149993896484,262,33,80,294.983337402344
1,6,1,26,101001026,0,105.300003051758,0,0,7.08333349227905,0,7.5,4.33333301544189,14.6666660308838,9,147.883331298828,0,0,2.5,150.383331298828
1,6,1,29,101001029,0,154.199996948242,0,0,2.5,0,7.91666650772095,8.33333301544189,16.25,5.30000019073486,194.5,0,780,0,974.5
1,6,1,34,101001034,0,149.100006103516,0,11.3999996185303,16.8333339691162,5.41666698455811,17.6666660308838,13.4166660308838,12.9166660308838,5,231.75,1817,251,3,637.166687011719
1,6,1,35,101001035,0,91.5999984741211,0,2.5,2.91666650772095,0,5.16666650772095,2.25,11.6333332061768,5,121.066665649414,661,0,16.6666660308838,192.816665649414
1,6,2,2,101002002,0,34.5,0,0,0,2,0,0,18.1916675567627,3,57.6916656494141,0,4,1540,1601.69165039063
1,6,2,4,101002004,0,56.7000007629395,0,0,0,2.16666650772095,0,0,7.58333301544189,3.5,69.9499969482422,0,0,380,449.950012207031
1,6,2,16,101002016,0,73.5999984741211,0,0,5,0,14.8333330154419,16.75,107.75,12,229.933334350586,0,15,52,296.933349609375
1,6,2,19,101002019,150,20.1399993896484,0,0,0,0,0,43.3333320617676,20.4166660308838,7,90.8899993896484,600,82,348,570.890014648438
1,6,2,21,101002021,0,87.9000015258789,0,0,0,0,4.91666650772095,0,23.2250003814697,7.30000019073486,123.341667175293,57,0,543,671.091674804688
1,6,2,23,101002023,0,104.800003051758,0,5,11.4166660308838,0,20.6666660308838,16.25,39.6666679382324,45,242.800003051758,1366,67,391,814.633361816406
1,6,2,24,101002024,0,63.5,7.5,37.5,0,2.58333325386047,0.5,7.91666650772095,62.0833320617676,20,201.58332824707,0,29,25.3333339691162,255.916656494141
1,6,2,25,101002025,0,102.800003051758,0,0,7.33333301544189,15.9166669845581,30.5833339691162,0,70.9166641235352,9,236.550003051758,1330,170,68.5,585.883361816406
1,6,2,28,101002028,0,107.199996948242,0,14.8000001907349,14.8333330154419,0,25.4166660308838,31,42.5,8,243.75,894,0,153.83332824707,472.083312988281
1,6,2,29,101002029,0,119.800003051758,0,0,0,0,0,77.5,41.4166679382324,13.5,252.216659545898,120,0,336.666656494141,598.88330078125
1,6,2,37,101002037,0,109.099998474121,0,0,9.33333301544189,0,0,20,34.25,36,208.683334350586,647,0,393,655.599975585938
1,6,2,41,101002041,0,86.5999984741211,0,0,6.08333349227905,0,10,12.6666660308838,53.75,29,198.100006103516,728,23,337,618.766662597656
1,6,2,43,101002043,0,45,0,0,0,0,0,9.08333301544189,9.91666603088379,0.800000011920929,64.8000030517578,30,55,10,132.300003051758
1,6,2,50,101002050,0,81.4000015258789,0,0,0,0,0,19.5833320617676,22.0833339691162,14,137.066665649414,150,0,371.416656494141,520.983337402344
1,6,2,52,101002052,0,55.0999984741211,0,0,1.33333337306976,0,2.66666650772095,12.75,19.9166660308838,7,98.7666625976563,0,0,12,110.766662597656
