date,tsla
16/5/16,208.289993
17/5/16,204.660004
18/5/16,211.169998
19/5/16,215.210007
20/5/16,220.279999
23/5/16,216.220001
24/5/16,217.910004
25/5/16,219.580002
26/5/16,225.119995
27/5/16,223.039993
31/5/16,223.229996
1/6/16,219.559998
2/6/16,218.960007
3/6/16,218.990005
6/6/16,220.679993
7/6/16,232.339996
8/6/16,235.520004
9/6/16,229.360001
10/6/16,218.789993
13/6/16,217.869995
14/6/16,214.960007
15/6/16,217.699997
16/6/16,217.929993
17/6/16,215.470001
20/6/16,219.699997
21/6/16,219.610001
22/6/16,196.660004
23/6/16,196.399994
24/6/16,193.149994
27/6/16,198.550003
28/6/16,201.789993
29/6/16,210.190002
30/6/16,212.279999
1/7/16,216.5
5/7/16,213.979996
6/7/16,214.440002
7/7/16,215.940002
8/7/16,216.779999
11/7/16,224.779999
12/7/16,224.649994
13/7/16,222.529999
14/7/16,221.529999
15/7/16,220.399994
18/7/16,226.25
19/7/16,225.259995
20/7/16,228.360001
21/7/16,220.5
22/7/16,222.270004
25/7/16,230.009995
26/7/16,229.509995
27/7/16,228.490005
28/7/16,230.610001
29/7/16,234.789993
1/8/16,230.009995
2/8/16,227.199997
3/8/16,225.789993
4/8/16,230.610001
5/8/16,230.029999
8/8/16,226.160004
9/8/16,229.080002
10/8/16,225.649994
11/8/16,224.910004
12/8/16,225.610001
15/8/16,225.589996
16/8/16,223.610001
17/8/16,223.240005
18/8/16,223.509995
19/8/16,225
22/8/16,222.929993
23/8/16,224.839996
24/8/16,222.619995
25/8/16,220.960007
26/8/16,219.990005
29/8/16,215.199997
30/8/16,211.339996
31/8/16,212.009995
1/9/16,200.770004
2/9/16,197.779999
6/9/16,202.830002
7/9/16,201.710007
8/9/16,197.360001
9/9/16,194.470001
12/9/16,198.300003
13/9/16,196.050003
14/9/16,196.410004
15/9/16,200.419998
16/9/16,205.399994
19/9/16,206.339996
20/9/16,204.639999
21/9/16,205.220001
22/9/16,206.429993
23/9/16,207.449997
26/9/16,208.990005
27/9/16,205.809998
28/9/16,206.270004
29/9/16,200.699997
30/9/16,204.029999
3/10/16,213.699997
4/10/16,211.410004
5/10/16,208.460007
6/10/16,201
7/10/16,196.610001
10/10/16,200.949997
11/10/16,200.100006
12/10/16,201.509995
13/10/16,200.240005
14/10/16,196.509995
17/10/16,193.960007
18/10/16,199.100006
19/10/16,203.559998
20/10/16,199.100006
21/10/16,200.089996
24/10/16,202.759995
25/10/16,202.339996
26/10/16,202.240005
27/10/16,204.009995
28/10/16,199.970001
31/10/16,197.729996
1/11/16,190.789993
2/11/16,188.020004
3/11/16,187.419998
4/11/16,190.559998
7/11/16,193.210007
8/11/16,194.940002
9/11/16,190.059998
10/11/16,185.350006
11/11/16,188.559998
14/11/16,181.449997
15/11/16,183.770004
16/11/16,183.929993
17/11/16,188.660004
18/11/16,185.020004
21/11/16,184.520004
22/11/16,191.169998
23/11/16,193.139999
25/11/16,196.649994
28/11/16,196.119995
29/11/16,189.570007
30/11/16,189.399994
1/12/16,181.880005
2/12/16,181.470001
5/12/16,186.800003
6/12/16,185.850006
7/12/16,193.149994
8/12/16,192.289993
9/12/16,192.179993
12/12/16,192.429993
13/12/16,198.149994
14/12/16,198.690002
15/12/16,197.580002
16/12/16,202.490005
19/12/16,202.729996
20/12/16,208.789993
21/12/16,207.699997
22/12/16,208.449997
23/12/16,213.339996
27/12/16,219.529999
28/12/16,219.740005
29/12/16,214.679993
30/12/16,213.690002
3/1/17,216.990005
4/1/17,226.990005
5/1/17,226.75
6/1/17,229.009995
9/1/17,231.279999
10/1/17,229.869995
11/1/17,229.729996
12/1/17,229.589996
13/1/17,237.75
17/1/17,235.580002
18/1/17,238.360001
19/1/17,243.759995
20/1/17,244.729996
23/1/17,248.919998
24/1/17,254.610001
25/1/17,254.470001
26/1/17,252.509995
27/1/17,252.949997
30/1/17,250.630005
31/1/17,251.929993
1/2/17,249.240005
2/2/17,251.550003
3/2/17,251.330002
6/2/17,257.769989
7/2/17,257.480011
8/2/17,262.079987
9/2/17,269.200012
10/2/17,269.230011
13/2/17,280.600006
14/2/17,280.980011
15/2/17,279.76001
16/2/17,268.950012
17/2/17,272.230011
21/2/17,277.390015
22/2/17,273.51001
23/2/17,255.990005
24/2/17,257
27/2/17,246.229996
28/2/17,249.990005
1/3/17,250.020004
2/3/17,250.479996
3/3/17,251.570007
6/3/17,251.210007
7/3/17,248.589996
8/3/17,246.869995
9/3/17,244.899994
10/3/17,243.690002
13/3/17,246.169998
14/3/17,258
15/3/17,255.729996
16/3/17,262.049988
17/3/17,261.5
20/3/17,261.920013
21/3/17,250.679993
22/3/17,255.009995
23/3/17,254.779999
24/3/17,263.160004
27/3/17,270.220001
28/3/17,277.450012
29/3/17,277.380005
30/3/17,277.920013
31/3/17,278.299988
3/4/17,298.519989
4/4/17,303.700012
5/4/17,295
6/4/17,298.700012
7/4/17,302.540009
10/4/17,312.390015
11/4/17,308.709991
12/4/17,296.839996
13/4/17,304
17/4/17,301.440002
18/4/17,300.25
19/4/17,305.519989
20/4/17,302.51001
21/4/17,305.600006
24/4/17,308.029999
25/4/17,313.790009
26/4/17,310.170013
27/4/17,308.630005
28/4/17,314.070007
1/5/17,322.829987
2/5/17,318.890015
3/5/17,311.019989
4/5/17,295.459991
5/5/17,308.350006
8/5/17,307.190002
9/5/17,321.26001
10/5/17,325.220001
11/5/17,323.100006
12/5/17,324.809998
15/5/17,315.880005
16/5/17,317.01001
17/5/17,306.109985
18/5/17,313.059998
19/5/17,310.829987
22/5/17,310.350006
23/5/17,303.859985
24/5/17,310.220001
25/5/17,316.829987
26/5/17,325.140015
30/5/17,335.100006
31/5/17,341.01001
1/6/17,340.369995
2/6/17,339.850006
5/6/17,347.320007
6/6/17,352.850006
7/6/17,359.649994
8/6/17,370
9/6/17,357.320007
12/6/17,359.01001
13/6/17,375.950012
14/6/17,380.660004
15/6/17,375.339996
16/6/17,371.399994
19/6/17,369.799988
20/6/17,372.23999
21/6/17,376.399994
22/6/17,382.609985
23/6/17,383.450012
26/6/17,377.48999
27/6/17,362.369995
28/6/17,371.23999
29/6/17,360.75
30/6/17,361.609985
3/7/17,352.619995
5/7/17,327.089996
6/7/17,308.829987
7/7/17,313.220001
10/7/17,316.049988
11/7/17,327.220001
12/7/17,329.519989
13/7/17,323.410004
14/7/17,327.779999
17/7/17,319.570007
18/7/17,328.23999
19/7/17,325.26001
20/7/17,329.920013
21/7/17,328.399994
24/7/17,342.519989
25/7/17,339.600006
26/7/17,343.850006
27/7/17,334.459991
28/7/17,335.070007
31/7/17,323.470001
1/8/17,319.570007
2/8/17,325.890015
3/8/17,347.089996
4/8/17,356.910004
7/8/17,355.170013
8/8/17,365.220001
9/8/17,363.529999
10/8/17,355.399994
11/8/17,357.869995
14/8/17,363.799988
15/8/17,362.329987
16/8/17,362.910004
17/8/17,351.920013
18/8/17,347.459991
21/8/17,337.859985
22/8/17,341.350006
23/8/17,352.769989
24/8/17,352.929993
25/8/17,348.049988
28/8/17,345.660004
29/8/17,347.359985
30/8/17,353.179993
31/8/17,355.899994
1/9/17,355.399994
5/9/17,349.589996
6/9/17,344.529999
7/9/17,350.609985
8/9/17,343.399994
11/9/17,363.690002
12/9/17,362.75
13/9/17,366.230011
14/9/17,377.640015
15/9/17,379.809998
18/9/17,385
19/9/17,375.100006
20/9/17,373.910004
21/9/17,366.480011
22/9/17,351.089996
25/9/17,344.98999
26/9/17,345.25
27/9/17,340.970001
28/9/17,339.600006
29/9/17,341.100006
2/10/17,341.529999
3/10/17,348.140015
4/10/17,355.01001
5/10/17,355.329987
6/10/17,356.880005
9/10/17,342.940002
10/10/17,355.589996
11/10/17,354.600006
12/10/17,355.679993
13/10/17,355.570007
16/10/17,350.600006
17/10/17,355.75
